,Postcode,Borough,Neighbourhood
0,"
M1NScarborough(Birch Cliff / Cliffside West)

","
M2NNorth York(Willowdale)South

",M3NNorth York(Downsview)Northwest
1,"
M1LScarborough(Golden Mile / Clairlea / Oakridge)

","
M2LNorth York(York Mills / Silver Hills)

",M3LNorth York(Downsview)West
2,"
M1HScarborough(Cedarbrae)

","
M2HNorth York(Hillcrest Village)

",M3HNorth York(Bathurst Manor / Wilson Heights / Downsview North)
3,"
M1JScarborough(Scarborough Village)

","
M2JNorth York(Fairview / Henry Farm / Oriole)

",M3JNorth York(Northwood Park / York University)
4,"
M1KScarborough(Kennedy Park / Ionview / East Birchmount Park)

","
M2KNorth York(Bayview Village)

",M3KNorth York(Downsview)East  (CFB Toronto)
5,"
M1MScarborough(Cliffside / Cliffcrest / Scarborough Village West)

","
M2MNorth York(Willowdale / Newtonbrook)

",M3MNorth York(Downsview)Central
